coin_id,coin_name,symbol,base,target,market_name,market_identifier,market_has_trading_incentive,price,volume,pp_total_volume,is_stale
cosmos,Cosmos,atom,IBC/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,UOSMO,Osmosis,osmosis,False,4.753753194,40575886,0.02494815091208399,False
cosmos,Cosmos,atom,ATOM,USDT,Binance,binance,False,39.11,289245902,0.17784332334228897,False
cosmos,Cosmos,atom,ATOM,USD,Coinbase Exchange,gdax,False,39.32,129192690,0.07943434006242239,False
cosmos,Cosmos,atom,ATOM,USDT,Digifinex,digifinex,False,39.503,115859690,0.07123652286353693,False
cosmos,Cosmos,atom,ATOM,USDT,OKEx,okex,False,39.35,247310739,0.15205941870871323,False
cosmos,Cosmos,atom,ATOM,USDT,TokoCrypto,toko_crypto,False,39.44,379815,0.00023352988370169367,False
cosmos,Cosmos,atom,ATOM,USDT,Gate.io,gate,False,39.5085,37232968,0.022892752226502066,False
cosmos,Cosmos,atom,ATOM,USDT,Nominex,nominex,False,38.79,695364,0.0004275457105441979,False
cosmos,Cosmos,atom,ATOM,USDT,Huobi Global,huobi,False,39.4789,36516758,0.022452389318228325,False
cosmos,Cosmos,atom,ATOM,USD,eToroX,etorox,False,39.08,637043,0.0003916869468108896,False
cosmos,Cosmos,atom,ATOM,TRY,BtcTurk PRO,btcturk,False,530.0,25142649,0.015458999504818147,False
cosmos,Cosmos,atom,ATOM,BTC,MEXC Global,mxc,False,0.00085093,715082,0.00043966935559989605,False
cosmos,Cosmos,atom,ATOM,BTC,Digifinex,digifinex,False,0.00085773,8909039,0.005477737428916323,False
cosmos,Cosmos,atom,ATOM,USD,Kraken,kraken,False,39.5022,19815347,0.012183499020361767,False
cosmos,Cosmos,atom,ATOM,USDT,KuCoin,kucoin,False,39.501,53280098,0.032759356764621834,False
cosmos,Cosmos,atom,ATOM,USDT,XT.COM,xt,False,39.0276,4424883,0.0027206466632007723,False
cosmos,Cosmos,atom,ATOM,BTC,Binance,binance,False,0.000852,34288410,0.021082285848678935,False
cosmos,Cosmos,atom,ATOM,USDT,Crypto.com Exchange,crypto_com,False,39.516,21499560,0.013219040181239775,False
cosmos,Cosmos,atom,ATOM,EUR,Kraken,kraken,False,34.8998,10283874,0.006323057012553141,False
cosmos,Cosmos,atom,ATOM,USDT,MEXC Global,mxc,False,38.81061,1701090,0.0010459180123642143,False
cosmos,Cosmos,atom,ATOM,USD,Binance US,binance_us,False,39.009,12936400,0.007953967030050394,False
